store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,banner,province_code,province_name,cma_code,cma_name,cma_type,fsa,coord_source,geo_source,osm_id,osm_type
osm:node/745987498,,http://www.tnt-supermarket.com,大統華 T&T Supermarket,open,2800 East 1st Avenue,Vancouver,,,British Columbia,V5M 4N8,CA,49.2690308,-123.046266,America/Vancouver,Asian Specialty,,604-254-9668,T&T Supermarket,BC,British Columbia,933,Vancouver,B,V5M,osm,osm+postcode_letter,745987498,node
osm:node/747517211,,https://www.realcanadiansuperstore.ca/store-locator/details/1518,Real Canadian Superstore,open,4700 Kingsway,,,,British Columbia,,CA,49.2274377,-123.001096,America/Vancouver,Hypermarket,,,Real Canadian Superstore,BC,British Columbia,933,Vancouver,B,,osm,osm+pip,747517211,node
osm:node/747517219,,,大統華 T&T Supermarket,open,4800 Kingsway,Burnaby,,,British Columbia,,CA,49.2249256,-122.999969,America/Vancouver,Asian Specialty,,,T&T Supermarket,BC,British Columbia,933,Vancouver,B,,osm,osm+postcode_letter,747517219,node
osm:node/754637562,,,No Frills,open,755 Mount Pleasant Road,Toronto,,,Ontario,M4S 2N4,CA,43.7077154,-79.3895451,America/Toronto,Discount,,,No Frills,ON,Ontario,535,Toronto,B,M4S,osm,osm+postcode_letter,754637562,node
osm:node/801555530,,,Valu-mart,open,,,,,Ontario,,CA,46.1003532,-77.4864669,America/Toronto,Supermarket,,,Valu-Mart,ON,Ontario,,,,,osm,osm+pip,801555530,node
osm:node/822316450,,https://www.maxi.ca/store-locator/details/8666?utm_source=G&utm_medium=LPM&utm_campaign=Loblaws,Maxi,open,2650 Aveunue de Grand-Mère,Shawinigan,,,Quebec,G9T 2L4,CA,46.6032807,-72.7115345,America/Toronto,Discount,,819-538-0262,Maxi,QC,Quebec,444,Shawinigan,D,G9T,osm,osm+postcode_letter,822316450,node
osm:node/825410728,,,Valu-mart,open,,,,,Ontario,,CA,42.2933327,-82.6999455,America/Toronto,Supermarket,,,Valu-Mart,ON,Ontario,559,Windsor,B,,osm,osm+pip,825410728,node
osm:node/850393325,,,Maxi,open,8 Boulevard Des Îles,Port-Cartier,,,Quebec,G5B 2J4,CA,50.020318,-66.8831358,America/Toronto,Discount,,418-766-6121,Maxi,QC,Quebec,,,,G5B,osm,osm+postcode_letter,850393325,node
osm:node/878798383,,,Maxi,open,,,,,Quebec,,CA,45.6092331,-73.4511165,America/Toronto,Discount,,,Maxi,QC,Quebec,462,Montréal,B,,osm,osm+pip,878798383,node
osm:node/891269103,,,No Frills,open,,,,,Ontario,,CA,46.3810616,-82.6337518,America/Toronto,Discount,,,No Frills,ON,Ontario,582,Elliot Lake,D,,osm,osm+pip,891269103,node
osm:node/892656435,,https://www.maxi.ca/fr/store-locator/details/8956/,Maxi Rue Jean-Talon,open,4325 Rue Jean-Talon Est,Montréal,,,Quebec,,CA,45.5695531,-73.5904206,America/Toronto,Discount,,514-727-3771,Maxi,QC,Quebec,462,Montréal,B,,osm,osm+postcode_letter,892656435,node
osm:node/892699463,,https://www.realcanadiansuperstore.ca/store-locator/details/1555,Real Canadian Superstore,open,19800 Lougheed Highway,Pitt Meadows,,,British Columbia,V3Y 2W1,CA,49.2201735,-122.672163,America/Vancouver,Hypermarket,,,Real Canadian Superstore,BC,British Columbia,933,Vancouver,B,V3Y,osm,osm+postcode_letter,892699463,node
osm:node/903702054,,https://www.nofrills.ca/LCLOnline/store_details_landing_page.jsp?storeId=661,No Frills,open,127 Hastings Street North,,,,Ontario,K0L 1C0,CA,45.0620987,-77.8551911,America/Toronto,Discount,,,No Frills,ON,Ontario,,,,K0L,osm,osm+postcode_letter,903702054,node
osm:node/919436283,,,T&T Supermarket,open,3451 Calgary Trail NW,,,,Alberta,,CA,53.4690342,-113.4945038,America/Edmonton,Asian Specialty,,,T&T Supermarket,AB,Alberta,835,Edmonton,B,,osm,osm+pip,919436283,node
osm:node/975756876,,https://www.nofrills.ca/,No Frills,open,,,,,Ontario,,CA,43.9091882,-80.1225985,America/Toronto,Discount,,,No Frills,ON,Ontario,535,Toronto,B,,osm,osm+pip,975756876,node
osm:node/975756880,,https://www.zehrs.ca/,Zehrs,open,,,,,Ontario,,CA,43.9262432,-80.0913959,America/Toronto,Supermarket,,,Zehrs,ON,Ontario,535,Toronto,B,,osm,osm+pip,975756880,node
osm:node/984234259,,https://www.realcanadiansuperstore.ca/store-locator/details/2822,Real Canadian Superstore,open,875 Highland Road East,Kitchener,,,Ontario,N2N 2Y2,CA,43.4294287,-80.5273006,America/Toronto,Hypermarket,,,Real Canadian Superstore,ON,Ontario,541,Kitchener - Cambridge - Waterloo,B,N2N,osm,osm+postcode_letter,984234259,node
osm:node/1055541329,,,Maxi,open,2925 Rue Sherbrooke Est,Montréal,,,Quebec,H1W 1B2,CA,45.5409731,-73.5592925,America/Toronto,Discount,,514-521-0660,Maxi,QC,Quebec,462,Montréal,B,H1W,osm,osm+postcode_letter,1055541329,node
osm:node/1073907375,,https://www.realcanadiansuperstore.ca/store-locator/details/1572,Real Canadian Superstore,open,,,,,Alberta,,CA,53.6015013,-113.536916,America/Edmonton,Hypermarket,,,Real Canadian Superstore,AB,Alberta,835,Edmonton,B,,osm,osm+pip,1073907375,node
osm:node/1160468509,,https://www.yourindependentgrocer.ca/,Your Independent Grocer,open,,,,,British Columbia,,CA,49.7400406,-123.133553,America/Vancouver,Supermarket,,,Your Independent Grocer,BC,British Columbia,934,Squamish,D,,osm,osm+pip,1160468509,node
osm:node/1183954282,,,No Frills,open,,,,,British Columbia,,CA,54.7808168,-127.166342,America/Vancouver,Discount,,,No Frills,BC,British Columbia,,,,,osm,osm+pip,1183954282,node
osm:node/1190347148,,,No Frills,open,,,,,Ontario,,CA,43.9079496,-78.8147137,America/Toronto,Discount,,,No Frills,ON,Ontario,532,Oshawa,B,,osm,osm+pip,1190347148,node
osm:node/1201063874,,https://www.zehrs.ca,Zehrs,open,450 Erb Street West,Waterloo,,,Ontario,,CA,43.4533214,-80.5557573,America/Toronto,Supermarket,,519-886-4900,Zehrs,ON,Ontario,541,Kitchener - Cambridge - Waterloo,B,,osm,osm+pip,1201063874,node
osm:node/1247049422,,,Maxi,open,1000 Suite 6 Boulevard du Séminaire Nord,,,,Quebec,J3A 1E5,CA,45.3376712,-73.2697229,America/Toronto,Discount,,450-348-3813,Maxi,QC,Quebec,462,Montréal,B,J3A,osm,osm+postcode_letter,1247049422,node
osm:node/1262743955,,https://www.maxi.ca/,Maxi Beauport,open,699 Rue Clemenceau,Québec,,,Quebec,G1C 4N6,CA,46.8739549,-71.1997329,America/Toronto,Discount,,,Maxi,QC,Quebec,421,Québec,B,G1C,osm,osm+postcode_letter,1262743955,node
osm:node/1282098880,,https://www.zehrs.ca/,Zehrs,open,315 Lincoln Road,Waterloo,,,Ontario,N2J 4H7,CA,43.483284,-80.5058529,America/Toronto,Supermarket,,519-885-1360,Zehrs,ON,Ontario,541,Kitchener - Cambridge - Waterloo,B,N2J,osm,osm+postcode_letter,1282098880,node
osm:node/1294055768,,,No Frills,open,,,,,British Columbia,,CA,49.3060229,-117.660073,America/Vancouver,Discount,,,No Frills,BC,British Columbia,,,,,osm,osm+pip,1294055768,node
osm:node/1309646535,,,No Frills,open,,,,,Ontario,,CA,43.595577,-79.602825,America/Toronto,Discount,,,No Frills,ON,Ontario,535,Toronto,B,,osm,osm+pip,1309646535,node
osm:node/1346361103,,,No Frills,open,,,,,Ontario,,CA,43.0201276,-81.3097783,America/Toronto,Discount,,,No Frills,ON,Ontario,555,London,B,,osm,osm+pip,1346361103,node
osm:node/1364140187,,,大統華 T&T Supermarket,open,36 36 Street NE,Calgary,,,Alberta,T2A 7X6,CA,51.0616364,-113.9840227,America/Edmonton,Asian Specialty,,403-569-6888,T&T Supermarket,AB,Alberta,825,Calgary,B,T2A,osm,osm+postcode_letter,1364140187,node
osm:node/1368359672,,,No Frills,open,390 Lincoln Street,Welland,,,Ontario,,CA,42.9851951,-79.240218,America/Toronto,Discount,,,No Frills,ON,Ontario,539,St. Catharines - Niagara,B,,osm,osm+pip,1368359672,node
osm:node/1406559318,,,No Frills,open,,,,,Ontario,,CA,43.5999019,-79.7116761,America/Toronto,Discount,,,No Frills,ON,Ontario,535,Toronto,B,,osm,osm+pip,1406559318,node
osm:node/1409297794,,,No Frills,open,,,,,Ontario,,CA,43.63685,-79.7196595,America/Toronto,Discount,,,No Frills,ON,Ontario,535,Toronto,B,,osm,osm+pip,1409297794,node
osm:node/1427593058,,https://www.maxi.ca/store-locator/details/8900?,Maxi,open,2101 avenue Dollard,,,,Quebec,,CA,45.4319841,-73.6334481,America/Toronto,Discount,,514-363-1503,Maxi,QC,Quebec,462,Montréal,B,,osm,osm+pip+nearest,1427593058,node
osm:node/1430594618,,https://www.tntsupermarket.com,大統華 T&T Supermarket,open,179 Keefer Place,Vancouver,,,British Columbia,V6B 6C1,CA,49.2799356,-123.1081374,America/Vancouver,Asian Specialty,,,T&T Supermarket,BC,British Columbia,933,Vancouver,B,V6B,osm,osm+postcode_letter,1430594618,node
osm:node/1508965520,,,No Frills,open,920 Dundas Street West,Whitby,,,Ontario,L1P 1P7,CA,43.8760353,-78.9641921,America/Toronto,Discount,,,No Frills,ON,Ontario,532,Oshawa,B,L1P,osm,osm+postcode_letter,1508965520,node
osm:node/1509946589,,,Maxi,open,6000 Rue Laurendeau,Montréal,,,Quebec,,CA,45.4583543,-73.5880765,America/Toronto,Discount,,,Maxi,QC,Quebec,462,Montréal,B,,osm,osm+postcode_letter,1509946589,node
osm:node/1518406892,,https://www.loblaws.ca/store-locator/details/1000,Loblaws,open,585 Queen Street West,Toronto,,,Ontario,M5V 2B7,CA,43.6474912,-79.4015723,America/Toronto,Supermarket,,416-703-3419,Loblaws,ON,Ontario,535,Toronto,B,M5V,osm,osm+postcode_letter,1518406892,node
osm:node/1520190659,,,No Frills,open,10233 Elbow Drive SW,,,,Alberta,T2W 1E8,CA,50.9614738,-114.085508,America/Edmonton,Discount,,,No Frills,AB,Alberta,825,Calgary,B,T2W,osm,osm+postcode_letter,1520190659,node
osm:node/1534525356,,,Your Independent Grocer,open,316 Main Street,Middleton,,,Nova Scotia,B0S 1P0,CA,44.9421658,-65.0675425,America/Halifax,Supermarket,,902-825-3461,Your Independent Grocer,NS,Nova Scotia,,,,B0S,osm,osm+postcode_letter,1534525356,node
osm:node/1537166702,,,Maxi,open,375 Jean-Talon Ouest,Montréal,,,Quebec,H3N 2Y8,CA,45.5307337,-73.6232425,America/Toronto,Discount,,514-948-2600,Maxi,QC,Quebec,462,Montréal,B,H3N,osm,osm+postcode_letter,1537166702,node
osm:node/1557313383,,https://www.maxi.ca/,Maxi,open,1100 13e Avenue Nord,,,,Quebec,J1E 3J7,CA,45.4229571,-71.8711023,America/Toronto,Discount,,819-562-6788,Maxi,QC,Quebec,433,Sherbrooke,B,J1E,osm,osm+postcode_letter,1557313383,node
osm:node/1569579009,,https://www.nofrills.ca/store-locator/details/7415,No Frills,open,1250 South Service Road,Mississauga,,,Ontario,L5E 1V4,CA,43.5927264,-79.5662959,America/Toronto,Discount,,,No Frills,ON,Ontario,535,Toronto,B,L5E,osm,osm+postcode_letter,1569579009,node
osm:node/1584232471,,,Your Independent Grocer,open,,,,,Ontario,,CA,43.4564779,-80.4726985,America/Toronto,Supermarket,,,Your Independent Grocer,ON,Ontario,541,Kitchener - Cambridge - Waterloo,B,,osm,osm+pip,1584232471,node
osm:node/1600541422,,,No Frills,open,,,,,Ontario,,CA,43.9867863,-79.4666078,America/Toronto,Discount,,,No Frills,ON,Ontario,535,Toronto,B,,osm,osm+pip,1600541422,node
osm:node/1603025512,,,Maxi,open,,,,,Quebec,,CA,45.4481334,-73.6175329,America/Toronto,Discount,,,Maxi,QC,Quebec,462,Montréal,B,,osm,osm+pip+nearest,1603025512,node
osm:node/1605507484,,https://www.nofrills.ca/,No Frills,open,,,,,Ontario,,CA,43.1192217,-80.7363611,America/Toronto,Discount,,,No Frills,ON,Ontario,544,Woodstock,D,,osm,osm+pip,1605507484,node
osm:node/1608094938,,,Zehrs,open,290 King George Road,,,,Ontario,,CA,43.1813797,-80.2787142,America/Toronto,Supermarket,,,Zehrs,ON,Ontario,543,Brantford,B,,osm,osm+pip,1608094938,node
osm:node/1609081722,,http://www.valu-mart.ca/,Valu-mart,open,,,,,Ontario,,CA,44.9314183,-78.7139204,America/Toronto,Supermarket,,705-286-3388,Valu-Mart,ON,Ontario,,,,,osm,osm+pip,1609081722,node
osm:node/1613626132,,,No Frills,open,,,,,Ontario,,CA,43.1655478,-79.4737114,America/Toronto,Discount,,,No Frills,ON,Ontario,539,St. Catharines - Niagara,B,,osm,osm+pip,1613626132,node
osm:node/1621008922,,,Provigo,open,,,,,Quebec,,CA,45.4668999,-73.5438562,America/Toronto,Supermarket,,,Provigo,QC,Quebec,462,Montréal,B,,osm,osm+pip+nearest,1621008922,node
osm:node/1629166851,,,Maxi,open,,,,,Quebec,,CA,46.7625174,-71.3186929,America/Toronto,Discount,,,Maxi,QC,Quebec,421,Québec,B,,osm,osm+pip+nearest,1629166851,node
osm:node/1639866940,,,No Frills,open,200 Front Street East,,,,Ontario,,CA,43.6511181,-79.3663593,America/Toronto,Discount,,,No Frills,ON,Ontario,535,Toronto,B,,osm,osm+pip,1639866940,node
osm:node/1654542143,,https://www.tntsupermarket.com/,大統華 T&T Supermarket,open,50 Westmount Road North,Waterloo,,,Ontario,N2L 2R5,CA,43.4624484,-80.5381605,America/Toronto,Asian Specialty,,519-725-2666,T&T Supermarket,ON,Ontario,541,Kitchener - Cambridge - Waterloo,B,N2L,osm,osm+postcode_letter,1654542143,node
osm:node/1657034000,,,No Frills,open,,,,,Ontario,,CA,42.9348066,-81.3147797,America/Toronto,Discount,,,No Frills,ON,Ontario,555,London,B,,osm,osm+pip,1657034000,node
osm:node/1678349017,,https://www.zehrs.ca/,Zehrs,open,750 Ottawa Street South,,,,Ontario,N2E 1B6,CA,43.4238573,-80.4871989,America/Toronto,Supermarket,,519-744-5981,Zehrs,ON,Ontario,541,Kitchener - Cambridge - Waterloo,B,N2E,osm,osm+postcode_letter,1678349017,node
osm:node/1685297716,,https://www.nofrills.ca/,No Frills,open,1020 Islington Avenue,Etobicoke,,,Ontario,,CA,43.6319159,-79.5191103,America/Toronto,Discount,,,No Frills,ON,Ontario,535,Toronto,B,,osm,osm+postcode_letter,1685297716,node
