store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,coord_source,fips_source,county_name,cbsa_name,cbsa_metro,csa_name
562,,https://www.walmart.com/store/562-leeds-al,Walmart Supercenter,open,8551 Whitfield Ave,Leeds,,Alabama,AL,35094,US,33.5621,-86.5192,America/Chicago,Supercenter,,205-699-0701,01,01115,01115040105,011150401053015,13820,142,ceo,census,St. Clair County,"Birmingham, AL",TRUE,"Birmingham-Cullman-Talladega, AL"
4330,,https://www.walmart.com/store/4330-chelsea-al,Walmart Supercenter,open,16077 Highway 280,Chelsea,,Alabama,AL,35043,US,33.3481,-86.6192,America/Chicago,Supercenter,,205-678-2222,01,01117,01117030219,011170302192027,13820,142,ceo,census,Shelby County,"Birmingham, AL",TRUE,"Birmingham-Cullman-Talladega, AL"
423,,https://www.walmart.com/store/423-alabaster-al,Walmart Supercenter,open,630 Colonial Promenade Pkwy,Alabaster,,Alabama,AL,35007,US,33.2356,-86.8016,America/Chicago,Supercenter,,205-620-0360,01,01117,01117030616,011170306162003,13820,142,ceo,census,Shelby County,"Birmingham, AL",TRUE,"Birmingham-Cullman-Talladega, AL"
4756,,https://www.walmart.com/store/4756-alabaster-al,Walmart Neighborhood Market,open,9085 Hwy 119,Alabaster,,Alabama,AL,35007,US,33.2125,-86.8288,America/Chicago,Neighborhood Market,,205-624-6229,01,01117,01117030610,011170306102000,13820,142,ceo,census,Shelby County,"Birmingham, AL",TRUE,"Birmingham-Cullman-Talladega, AL"
3386,,https://www.walmart.com/store/3386-springville-al,Walmart Supercenter,open,160 Springville Station Blvd,Springville,,Alabama,AL,35146,US,33.7795,-86.432,America/Chicago,Supercenter,,205-467-6656,01,01115,01115040503,011150405033012,13820,142,ceo,nominatim+fcc,St. Clair County,"Birmingham, AL",TRUE,"Birmingham-Cullman-Talladega, AL"
3271,,https://www.walmart.com/store/3271-calera-al,Walmart Supercenter,open,5100 Highway 31,Calera,,Alabama,AL,35040,US,33.1464,-86.7518,America/Chicago,Supercenter,,205-668-0831,01,01117,01117030502,011170305022021,13820,142,ceo,census,Shelby County,"Birmingham, AL",TRUE,"Birmingham-Cullman-Talladega, AL"
425,,https://www.walmart.com/store/425-brent-al,Walmart Supercenter,open,10675 Highway 5,Brent,,Alabama,AL,35034,US,32.963,-87.1693,America/Chicago,Supercenter,,205-926-4878,01,01007,01007010010,010070100102026,13820,142,ceo,census,Bibb County,"Birmingham, AL",TRUE,"Birmingham-Cullman-Talladega, AL"
730,,https://www.walmart.com/store/730-sylacauga-al,Walmart Supercenter,open,41301 Us Highway 280,Sylacauga,,Alabama,AL,35150,US,33.1741,-86.2871,America/Chicago,Supercenter,,256-245-0356,01,01121,01121011900,011210119001032,45180,142,ceo,census,Talladega County,"Talladega-Sylacauga, AL",FALSE,"Birmingham-Cullman-Talladega, AL"
424,,https://www.walmart.com/store/424-clanton-al,Walmart Supercenter,open,1415 7th St S,Clanton,,Alabama,AL,35045,US,32.8175,-86.6069,America/Chicago,Supercenter,,205-755-7574,01,01021,01021060101,010210601014028,13820,142,ceo,census,Chilton County,"Birmingham, AL",TRUE,"Birmingham-Cullman-Talladega, AL"
726,,https://www.walmart.com/store/726-alexander-city-al,Walmart Supercenter,open,2643 Highway 280,Alexander City,,Alabama,AL,35010,US,32.9387,-85.9771,America/Chicago,Supercenter,,256-234-0316,01,01123,01123962100,011239621003020,10760,194,ceo,census,Tallapoosa County,"Alexander City, AL",FALSE,"Columbus-Auburn-Opelika, GA-AL"
1057,,https://www.walmart.com/store/1057-tallassee-al,Walmart Supercenter,open,2190 Gilmer Avenue,Tallassee,,Alabama,AL,36078,US,32.5659,-85.9313,America/Chicago,Supercenter,,334-283-6841,01,01051,01051030402,010510304022009,33860,388,ceo,nominatim+fcc,Elmore County,"Montgomery, AL",TRUE,"Montgomery-Selma, AL"
1101,,https://www.walmart.com/store/1101-wetumpka-al,Walmart Supercenter,open,4538 Us Highway 231,Wetumpka,,Alabama,AL,36092,US,32.5072,-86.2125,America/Chicago,Supercenter,,334-567-3066,01,01051,01051030702,010510307021015,33860,388,ceo,census,Elmore County,"Montgomery, AL",TRUE,"Montgomery-Selma, AL"
4673,,https://www.walmart.com/store/4673-auburn-al,Walmart Neighborhood Market,open,1810 Shug Jordan Pkwy,Auburn,,Alabama,AL,36830,US,32.6304,-85.4956,America/Chicago,Neighborhood Market,,334-539-6318,01,01081,01081040901,010810409012012,12220,194,ceo,census,Lee County,"Auburn-Opelika, AL",TRUE,"Columbus-Auburn-Opelika, GA-AL"
432,,https://www.walmart.com/store/432-talladega-al,Walmart Supercenter,open,214 Haynes St,Talladega,,Alabama,AL,35160,US,33.4385,-86.0809,America/Chicago,Supercenter,,256-761-1681,01,01121,01121010400,011210104001026,45180,142,ceo,census,Talladega County,"Talladega-Sylacauga, AL",FALSE,"Birmingham-Cullman-Talladega, AL"
1091,,https://www.walmart.com/store/1091-andalusia-al,Walmart Supercenter,open,1991 M. L. King Jr.,Andalusia,,Alabama,AL,36420,US,31.3197,-86.4448,America/Chicago,Supercenter,,334-222-6561,01,01039,01039962100,010399621001006,,,ceo,nominatim+fcc,,,,
809,,https://www.walmart.com/store/809-oxford-al,Walmart Supercenter,open,92 Plaza Ln,Oxford,,Alabama,AL,36203,US,33.599,-85.8323,America/Chicago,Supercenter,,256-835-4701,01,01015,01015001103,010150011033037,11500,,ceo,census,Calhoun County,"Anniston-Oxford, AL",TRUE,
329,,https://www.walmart.com/store/329-anniston-al,Walmart Supercenter,open,5560 Mcclellan Blvd,Anniston,,Alabama,AL,36206,US,33.7201,-85.8201,America/Chicago,Supercenter,,256-820-3326,01,01015,01015000700,010150007002012,11500,,ceo,census,Calhoun County,"Anniston-Oxford, AL",TRUE,
300,,https://www.walmart.com/store/300-jacksonville-al,Walmart Supercenter,open,1625 Pelham Rd S,Jacksonville,,Alabama,AL,36265,US,33.7878,-85.7621,America/Chicago,Supercenter,,256-435-8100,01,01015,01015002104,010150021041023,11500,,ceo,census,Calhoun County,"Anniston-Oxford, AL",TRUE,
5113,,https://www.walmart.com/store/5113-pell-city-al,Walmart Supercenter,open,165 Vaughan Ln,Pell City,,Alabama,AL,35125,US,33.6095,-86.2771,America/Chicago,Supercenter,,205-338-5300,01,01115,01115040207,011150402071055,13820,142,ceo,census,St. Clair County,"Birmingham, AL",TRUE,"Birmingham-Cullman-Talladega, AL"
301,,https://www.walmart.com/store/301-gadsden-al,Walmart Supercenter,open,340 E Meighan Blvd,Gadsden,,Alabama,AL,35903,US,34.0103,-85.9876,America/Chicago,Supercenter,,256-547-2637,01,01055,01055001300,010550013001001,23460,,ceo,census,Etowah County,"Gadsden, AL",TRUE,
316,,https://www.walmart.com/store/316-attalla-al,Walmart Supercenter,open,973 Gilbert Ferry Rd Se,Attalla,,Alabama,AL,35954,US,33.9936,-86.0936,America/Chicago,Supercenter,,256-538-3811,01,01055,01055010202,010550102022035,23460,,ceo,census,Etowah County,"Gadsden, AL",TRUE,
306,,https://www.walmart.com/store/306-arab-al,Walmart Supercenter,open,1450 No. Brindlee Mt,Arab,,Alabama,AL,35016,US,34.3415,-86.5006,America/Chicago,Supercenter,,256-586-8168,01,01095,01095030402,010950304022047,10700,290,ceo,fcc,Marshall County,"Albertville, AL",FALSE,"Huntsville-Decatur-Albertville, AL-TN"
681,,https://www.walmart.com/store/681-guntersville-al,Walmart Supercenter,open,11697 Us Highway 431,Guntersville,,Alabama,AL,35976,US,34.3011,-86.2766,America/Chicago,Supercenter,,256-878-0685,01,01095,01095030701,010950307012024,10700,290,ceo,census,Marshall County,"Albertville, AL",FALSE,"Huntsville-Decatur-Albertville, AL-TN"
298,,https://www.walmart.com/store/298-boaz-al,Walmart Supercenter,open,1972 Hwy 431,Boaz,,Alabama,AL,35957,US,34.2147,-86.1536,America/Chicago,Supercenter,,256-593-0195,01,01095,01095031200,010950312002071,10700,290,ceo,census,Marshall County,"Albertville, AL",FALSE,"Huntsville-Decatur-Albertville, AL-TN"
434,,https://www.walmart.com/store/434-huntsville-al,Walmart Supercenter,open,11610 Memorial Pkwy Sw,Huntsville,,Alabama,AL,35803,US,34.6157,-86.5707,America/Chicago,Supercenter,,256-881-0581,01,01089,01089002803,010890028031001,26620,290,ceo,census,Madison County,"Huntsville, AL",TRUE,"Huntsville-Decatur-Albertville, AL-TN"
7280,,https://www.walmart.com/store/7280-cullman-al,Walmart Supercenter,open,5601 Al Highway 157,Cullman,,Alabama,AL,35058,US,34.2048,-86.8697,America/Chicago,Supercenter,,256-615-6667,01,01043,01043964800,010439648001001,18980,142,ceo,census,Cullman County,"Cullman, AL",FALSE,"Birmingham-Cullman-Talladega, AL"
5716,,https://www.walmart.com/store/5716-huntsville-al,Walmart Neighborhood Market,open,9020 Bailey Cove Rd Se,Huntsville,,Alabama,AL,35802,US,34.6473,-86.5416,America/Chicago,Neighborhood Market,,256-970-6552,01,01089,01089002721,010890027212023,26620,290,ceo,census,Madison County,"Huntsville, AL",TRUE,"Huntsville-Decatur-Albertville, AL-TN"
670,,https://www.walmart.com/store/670-cullman-al,Walmart Supercenter,open,626 Olive St Sw,Cullman,,Alabama,AL,35055,US,34.1496,-86.8414,America/Chicago,Supercenter,,256-739-1664,01,01043,01043965002,010439650022023,18980,142,ceo,census,Cullman County,"Cullman, AL",FALSE,"Birmingham-Cullman-Talladega, AL"
5197,,https://www.walmart.com/store/5197-owens-cross-roads-al,Walmart Supercenter,open,330 Sutton Rd Se,Owens Cross Roads,,Alabama,AL,35763,US,34.6576,-86.4857,America/Chicago,Supercenter,,256-534-4140,01,01089,01089010904,010890109041009,26620,290,ceo,census,Madison County,"Huntsville, AL",TRUE,"Huntsville-Decatur-Albertville, AL-TN"
315,,https://www.walmart.com/store/315-oneonta-al,Walmart Supercenter,open,2453 2nd Ave E,Oneonta,,Alabama,AL,35121,US,33.9723,-86.4483,America/Chicago,Supercenter,,205-625-6474,01,01009,01009050105,010090501053013,13820,142,ceo,census,Blount County,"Birmingham, AL",TRUE,"Birmingham-Cullman-Talladega, AL"
375,,https://www.walmart.com/store/375-huntsville-al,Walmart Supercenter,open,3031 Memorial Pkwy Sw,Huntsville,,Alabama,AL,35801,US,34.703,-86.5851,America/Chicago,Supercenter,,256-536-2870,01,01089,01089002600,010890026001008,26620,290,ceo,nominatim+fcc,Madison County,"Huntsville, AL",TRUE,"Huntsville-Decatur-Albertville, AL-TN"
1124,,https://www.walmart.com/store/1124-hartselle-al,Walmart Supercenter,open,1201 Highway 31 Nw,Hartselle,,Alabama,AL,35640,US,34.4525,-86.9486,America/Chicago,Supercenter,,256-773-1675,01,01103,01103005302,011030053021039,19460,290,ceo,census,Morgan County,"Decatur, AL",TRUE,"Huntsville-Decatur-Albertville, AL-TN"
5925,,https://www.walmart.com/store/5925-huntsville-al,Walmart Neighborhood Market,open,2305 Jordan Ln Sw,Huntsville,,Alabama,AL,35805,US,34.7142,-86.6264,America/Chicago,Neighborhood Market,,256-755-3080,01,01089,01089002200,010890022002014,26620,290,ceo,census,Madison County,"Huntsville, AL",TRUE,"Huntsville-Decatur-Albertville, AL-TN"
2690,,https://www.walmart.com/store/2690-madison-al,Walmart Supercenter,open,8650 Madison Blvd,Madison,,Alabama,AL,35758,US,34.6838,-86.7411,America/Chicago,Supercenter,,256-461-7403,01,01089,01089011028,010890110283022,26620,290,ceo,census,Madison County,"Huntsville, AL",TRUE,"Huntsville-Decatur-Albertville, AL-TN"
332,,https://www.walmart.com/store/332-huntsville-al,Walmart Supercenter,open,6140a University Dr Nw,Huntsville,,Alabama,AL,35806,US,34.7465,-86.6761,America/Chicago,Supercenter,,256-837-7272,01,01089,01089010627,010890106272016,26620,290,ceo,census,Madison County,"Huntsville, AL",TRUE,"Huntsville-Decatur-Albertville, AL-TN"
433,,https://www.walmart.com/store/433-huntsville-al,Walmart Supercenter,open,2200 Sparkman Dr Nw,Huntsville,,Alabama,AL,35810,US,34.7634,-86.5946,America/Chicago,Supercenter,,256-852-2236,01,01089,01089000701,010890007011002,26620,290,ceo,census,Madison County,"Huntsville, AL",TRUE,"Huntsville-Decatur-Albertville, AL-TN"
662,,https://www.walmart.com/store/662-decatur-al,Walmart Supercenter,open,2800 Spring Ave Sw,Decatur,,Alabama,AL,35603,US,34.5573,-86.9984,America/Chicago,Supercenter,,256-350-4624,01,01103,01103005109,011030051091004,19460,290,ceo,census,Morgan County,"Decatur, AL",TRUE,"Huntsville-Decatur-Albertville, AL-TN"
2488,,https://www.walmart.com/store/2488-decatur-al,Walmart Neighborhood Market,open,1203 6th Ave Se,Decatur,,Alabama,AL,35601,US,34.5893,-86.9807,America/Chicago,Neighborhood Market,,256-822-6366,01,01103,01103000400,011030004002038,19460,290,ceo,census,Morgan County,"Decatur, AL",TRUE,"Huntsville-Decatur-Albertville, AL-TN"
5703,,https://www.walmart.com/store/5703-madison-al,Walmart Supercenter,open,8580 Hwy 72 W,Madison,,Alabama,AL,35758,US,34.7506,-86.7733,America/Chicago,Supercenter,,256-716-6951,01,01089,01089010612,010890106122028,26620,290,ceo,census,Madison County,"Huntsville, AL",TRUE,"Huntsville-Decatur-Albertville, AL-TN"
7324,,https://www.walmart.com/store/7324-huntsville-al,Walmart Supercenter,open,2165 Winchester Rd Ne,Huntsville,,Alabama,AL,35811,US,34.8197,-86.4933,America/Chicago,Supercenter,,256-716-6773,01,01089,01089010706,010890107063002,26620,290,ceo,census,Madison County,"Huntsville, AL",TRUE,"Huntsville-Decatur-Albertville, AL-TN"
661,,https://www.walmart.com/store/661-athens-al,Walmart Supercenter,open,1011 Us Highway 72 E,Athens,,Alabama,AL,35611,US,34.7886,-86.9589,America/Chicago,Supercenter,,256-230-2981,01,01083,01083020900,010830209002025,26620,290,ceo,census,Limestone County,"Huntsville, AL",TRUE,"Huntsville-Decatur-Albertville, AL-TN"
7342,,https://www.walmart.com/store/7342-madison-al,Walmart Neighborhood Market,open,7140 Wall Triana Hwy,Madison,,Alabama,AL,35757,US,34.7936,-86.7495,America/Chicago,Neighborhood Market,,256-970-6193,01,01089,01089010629,010890106291000,26620,290,ceo,census,Madison County,"Huntsville, AL",TRUE,"Huntsville-Decatur-Albertville, AL-TN"
7254,,https://www.walmart.com/store/7254-huntsville-al,Clinic Pharmacy,open,1 Cotton Valley Drive Nw,Huntsville,,Alabama,AL,35810,US,34.8298,-86.6397,America/Chicago,Clinic Pharmacy,,256-746-1638,01,01089,01089010704,010890107043011,26620,290,ceo,fcc,Madison County,"Huntsville, AL",TRUE,"Huntsville-Decatur-Albertville, AL-TN"
6878,,https://www.walmart.com/store/6878-hazel-green-al,Walmart Supercenter,open,14595 Highway 231 431 N,Hazel Green,,Alabama,AL,35750,US,34.9465,-86.5724,America/Chicago,Supercenter,,256-828-0486,01,01089,01089010304,010890103043000,26620,290,ceo,census,Madison County,"Huntsville, AL",TRUE,"Huntsville-Decatur-Albertville, AL-TN"
394,,https://www.walmart.com/store/394-moulton-al,Walmart Supercenter,open,15445 Highway 24,Moulton,,Alabama,AL,35650,US,34.4933,-87.273,America/Chicago,Supercenter,,256-974-1128,01,01079,01079979400,010799794001015,19460,290,ceo,census,Lawrence County,"Decatur, AL",TRUE,"Huntsville-Decatur-Albertville, AL-TN"
238,,https://www.walmart.com/store/238-pulaski-tn,Walmart Supercenter,open,1655 W College St,Pulaski,,Tennessee,TN,38478,US,35.2022,-87.0573,America/Chicago,Supercenter,,931-363-7618,47,47055,47055920500,470559205002008,,,ceo,census,,,,
314,,https://www.walmart.com/store/314-fayetteville-tn,Walmart Supercenter,open,1224 Huntsville Hwy,Fayetteville,,Tennessee,TN,37334,US,35.1323,-86.566,America/Chicago,Supercenter,,931-433-3010,47,47103,47103975400,471039754002057,22190,290,ceo,census,Lincoln County,"Fayetteville, TN",FALSE,"Huntsville-Decatur-Albertville, AL-TN"
7247,,https://www.walmart.com/store/7247-atmore-al,Walmart Supercenter,open,911 N Main St,Atmore,,Alabama,AL,36502,US,31.0375,-87.4954,America/Chicago,Supercenter,,251-368-1403,01,01053,01053970600,010539706003007,,,ceo,census,,,,
2739,,https://www.walmart.com/store/2739-bay-minette-al,Walmart Supercenter,open,701 Mcmeans Ave,Bay Minette,,Alabama,AL,36507,US,30.8832,-87.7878,America/Chicago,Supercenter,,251-937-5558,01,01003,01003010300,010030103003065,19300,380,ceo,census,Baldwin County,"Daphne-Fairhope-Foley, AL",TRUE,"Mobile-Daphne-Fairhope, AL"
1620,,https://www.walmart.com/store/1620-brewton-al,Walmart Supercenter,open,2578 Douglas Ave,Brewton,,Alabama,AL,36426,US,31.1485,-87.0653,America/Chicago,Supercenter,,251-867-4680,01,01053,01053970100,010539701003007,,,ceo,census,,,,
1493,,https://www.walmart.com/store/1493-monroeville-al,Walmart Supercenter,open,3371 S Alabama Ave,Monroeville,,Alabama,AL,36460,US,31.4806,-87.3283,America/Chicago,Supercenter,,251-575-3333,01,01099,01099076000,010990760002037,,,ceo,census,,,,
2467,,https://www.walmart.com/store/2467-pace-fl,Walmart Neighborhood Market,open,4239 Berryhill Rd,Pace,,Florida,FL,32571,US,30.6473,-87.1489,America/Chicago,Neighborhood Market,,850-463-9460,12,12113,12113010301,121130103012011,37860,,ceo,census,Santa Rosa County,"Pensacola-Ferry Pass-Brent, FL",TRUE,
5126,,https://www.walmart.com/store/5126-centre-al,Walmart Supercenter,open,1950 W Main St,Centre,,Alabama,AL,35960,US,34.1601,-85.7142,America/Chicago,Supercenter,,256-927-9900,01,01019,01019955900,010199559003001,,,ceo,census,,,,
691,,https://www.walmart.com/store/691-fort-payne-al,Walmart Supercenter,open,2001 Glenn Blvd Sw,Fort Payne,,Alabama,AL,35968,US,34.4387,-85.7613,America/Chicago,Supercenter,,256-845-3163,01,01049,01049961100,010499611003061,22840,290,ceo,census,DeKalb County,"Fort Payne, AL",FALSE,"Huntsville-Decatur-Albertville, AL-TN"
