store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,county_name,cbsa_name,cbsa_metro,csa_name
55,medallion,https://www.target.com/sl/medallion/55,Medallion,Open,6464 E NORTHWEST HWY STE 212,Dallas,Dallas,Texas,TX,75214-7802,US,32.856408,-96.752703,America/Chicago,Pfresh,125587,214-361-2026,48,48113,48113007903,481130079031002,19100,206,Dallas County,"Dallas-Fort Worth-Arlington, TX",TRUE,"Dallas-Fort Worth, TX-OK"
61,fargo,https://www.target.com/sl/fargo/61,Fargo,Open,4202 13th Ave SW,Fargo,Cass,North Dakota,ND,58103-3308,US,46.860628,-96.852985,America/Chicago,Pfresh,145816,701-282-7400,38,38017,38017010106,380170101064007,22020,244,Cass County,"Fargo, ND-MN",TRUE,"Fargo-Wahpeton, ND-MN"
64,boulder,https://www.target.com/sl/boulder/64,Boulder,Open,2800 Pearl St,Boulder,Boulder,Colorado,CO,80301-1123,US,40.021887,-105.256717,America/Denver,Pfresh,135586,303-449-3400,08,08013,08013012208,080130122081026,14500,216,Boulder County,"Boulder, CO",TRUE,"Denver-Aurora-Greeley, CO"
67,plano,https://www.target.com/sl/plano/67,Plano,Open,120 W Parker Rd,Plano,Collin,Texas,TX,75075-2331,US,33.037404,-96.70825,America/Chicago,Pfresh,114048,972-424-9575,48,48085,48085031622,480850316221021,19100,206,Collin County,"Dallas-Fort Worth-Arlington, TX",TRUE,"Dallas-Fort Worth, TX-OK"
68,east-st-paul,https://www.target.com/sl/east-st-paul/68,East St Paul,Open,1744 Suburban Ave,Saint Paul,Ramsey,Minnesota,MN,55106-6619,US,44.949601,-93.028418,America/Chicago,Pfresh,114780,651-778-1188,27,27123,27123034701,271230347012011,33460,378,Ramsey County,"Minneapolis-St. Paul-Bloomington, MN-WI",TRUE,"Minneapolis-St. Paul, MN-WI"
69,valley-west,https://www.target.com/sl/valley-west/69,Valley West,Open,1800 Valley West Dr,West Des Moines,Polk,Iowa,IA,50266-1104,US,41.599259,-93.752751,America/Chicago,Pfresh,115878,515-225-3784,19,19153,19153011114,191530111141006,19780,218,Polk County,"Des Moines-West Des Moines, IA",TRUE,"Des Moines-West Des Moines-Ames, IA"
75,houston-westchase,https://www.target.com/sl/houston-westchase/75,Houston Westchase,Open,10801 Westheimer Rd,Houston,Harris,Texas,TX,77042-3201,US,29.735533,-95.568335,America/Chicago,Pfresh,124720,713-782-9950,48,48201,48201452204,482014522043001,26420,288,Harris County,"Houston-Pasadena-The Woodlands, TX",TRUE,"Houston-Pasadena, TX"
76,sioux-falls,https://www.target.com/sl/sioux-falls/76,Sioux Falls,Open,3600 S Louise Ave,Sioux Falls,Minnehaha,South Dakota,SD,57106-6326,US,43.511783,-96.769284,America/Chicago,Pfresh,133935,605-361-1551,46,46099,46099001109,460990011092022,43620,,Minnehaha County,"Sioux Falls, SD-MN",TRUE,
78,alton,https://www.target.com/sl/alton/78,Alton,Open,300 Homer M Adams Pkwy,Alton,Madison,Illinois,IL,62002-5928,US,38.921281,-90.169937,America/Chicago,Pfresh,99507,618-465-4950,17,17119,17119402701,171194027013041,41180,476,Madison County,"St. Louis, MO-IL",TRUE,"St. Louis-St. Charles-Farmington, MO-IL"
79,fort-collins,https://www.target.com/sl/fort-collins/79,Fort Collins,Open,105 W Troutman Pkwy,Fort Collins,Larimer,Colorado,CO,80525-3038,US,40.527326,-105.078537,America/Denver,Gen Merch,121324,970-223-9100,08,08069,08069001007,080690010073014,22660,,Larimer County,"Fort Collins-Loveland, CO",TRUE,
80,wichita-falls,https://www.target.com/sl/wichita-falls/80,Wichita Falls,Open,4317 Kemp Blvd,Wichita Falls,Wichita,Texas,TX,76308-3717,US,33.864791,-98.533874,America/Chicago,Gen Merch,99869,940-691-3310,48,48485,48485012002,484850120022015,48660,,Wichita County,"Wichita Falls, TX",TRUE,
82,waukesha,https://www.target.com/sl/waukesha/82,Waukesha,Open,2401 Kossow Rd,Waukesha,Waukesha,Wisconsin,WI,53186-2904,US,43.034537,-88.177573,America/Chicago,Pfresh,125897,262-784-8646,55,55133,55133202901,551332029013004,33340,376,Waukesha County,"Milwaukee-Waukesha, WI",TRUE,"Milwaukee-Racine-Waukesha, WI"
83,lubbock-university-ave,https://www.target.com/sl/lubbock-university-ave/83,Lubbock University Ave,Open,7302 University Ave,Lubbock,Lubbock,Texas,TX,79423-1423,US,33.528009,-101.872299,America/Chicago,Pfresh,122551,806-745-7579,48,48303,48303002102,483030021021002,31180,352,Lubbock County,"Lubbock, TX",TRUE,"Lubbock-Plainview, TX"
85,minot,https://www.target.com/sl/minot/85,Minot,Open,2400 10th St SW,Minot,Ward,North Dakota,ND,58701-2013,US,48.207108,-101.313391,America/Chicago,Pfresh,120196,701-852-5820,38,38101,38101010601,381010106012001,33500,,Ward County,"Minot, ND",TRUE,
86,dubuque,https://www.target.com/sl/dubuque/86,Dubuque,Open,3500 Dodge St,Dubuque,Dubuque,Iowa,IA,52003-5261,US,42.490219,-90.721855,America/Chicago,Pfresh,99356,563-557-9800,19,19061,19061001202,190610012021021,20220,,Dubuque County,"Dubuque, IA",TRUE,
90,memphis-central,https://www.target.com/sl/memphis-central/90,Memphis Central,Open,601 Colonial Rd,Memphis,Shelby,Tennessee,TN,38117-5132,US,35.113176,-89.90362,America/Chicago,Pfresh,120719,901-685-9240,47,47157,47157009300,471570093001002,32820,368,Shelby County,"Memphis, TN-MS-AR",TRUE,"Memphis-Clarksdale-Forrest City, TN-MS-AR"
93,grand-junction,https://www.target.com/sl/grand-junction/93,Grand Junction,Open,2424 Highway 6 and 50 Ste C,Grand Junction,Mesa,Colorado,CO,81505-1103,US,39.09287,-108.601179,America/Denver,Pfresh,114275,970-245-8056,08,08077,08077000900,080770009002041,24300,,Mesa County,"Grand Junction, CO",TRUE,
95,austin-north,https://www.target.com/sl/austin-north/95,Austin North,Open,8601 Research Blvd,Austin,Travis,Texas,TX,78758-7121,US,30.362314,-97.715779,America/Chicago,Pfresh,114445,512-837-5163,48,48453,48453040100,484530401001002,12420,,Travis County,"Austin-Round Rock-San Marcos, TX",TRUE,
96,austin-south-lamar,https://www.target.com/sl/austin-south-lamar/96,Austin South Lamar,Open,2300 W Ben White Blvd,Austin,Travis,Texas,TX,78704-7525,US,30.233362,-97.792106,America/Chicago,Pfresh,100335,512-445-2266,48,48453,48453002004,484530020043000,12420,,Travis County,"Austin-Round Rock-San Marcos, TX",TRUE,
100,ridgedale,https://www.target.com/sl/ridgedale/100,Ridgedale,Open,13201 Ridgedale Dr,Minnetonka,Hennepin,Minnesota,MN,55305-1809,US,44.970157,-93.447411,America/Chicago,Pfresh,150941,952-542-8250,27,27053,27053026404,270530264043003,33460,378,Hennepin County,"Minneapolis-St. Paul-Bloomington, MN-WI",TRUE,"Minneapolis-St. Paul, MN-WI"
108,evansville-north,https://www.target.com/sl/evansville-north/108,Evansville North,Open,4000 1st Ave,Evansville,Vanderburgh,Indiana,IN,47710-3614,US,38.015727,-87.576467,America/Chicago,Pfresh,113125,812-426-2218,18,18163,18163003900,181630039002000,21780,241,Vanderburgh County,"Evansville, IN",TRUE,"Evansville-Henderson, IN-KY"
111,kokomo,https://www.target.com/sl/kokomo/111,Kokomo,Open,1037 S Reed Rd,Kokomo,Howard,Indiana,IN,46902-1929,US,40.474985,-86.109158,America/New_York,Gen Merch,107836,765-457-7577,18,18067,18067001200,180670012003001,29020,294,Howard County,"Kokomo, IN",TRUE,"Indianapolis-Carmel-Muncie, IN"
137,bloomington-normal,https://www.target.com/sl/bloomington-normal/137,Bloomington Normal,Open,301 Veterans Pkwy,Normal,McLean,Illinois,IL,61761-2115,US,40.507342,-88.957364,America/Chicago,Pfresh,100914,309-454-5648,17,17113,17113000504,171130005041046,14010,145,McLean County,"Bloomington, IL",TRUE,"Bloomington-Pontiac, IL"
139,new-albany,https://www.target.com/sl/new-albany/139,New Albany,Open,2209 State St,New Albany,Floyd,Indiana,IN,47150-4924,US,38.305507,-85.841632,America/New_York,Pfresh,101643,812-945-5046,18,18043,18043070801,180430708012006,31140,350,Floyd County,"Louisville/Jefferson County, KY-IN",TRUE,"Louisville/Jefferson County--Elizabethtown, KY-IN"
144,rivergate,https://www.target.com/sl/rivergate/144,Rivergate,Open,2050 Gallatin Rd N,Madison,Davidson,Tennessee,TN,37115-2002,US,36.304198,-86.694594,America/Chicago,Gen Merch,115338,615-859-5260,47,47037,47037010401,470370104013018,34980,400,Davidson County,"Nashville-Davidson--Murfreesboro--Franklin, TN",TRUE,"Nashville-Davidson--Murfreesboro, TN"
146,white-bridge,https://www.target.com/sl/white-bridge/146,White Bridge,Open,26 White Bridge Pike,Nashville,Davidson,Tennessee,TN,37205-1411,US,36.130779,-86.854673,America/Chicago,Pfresh,126292,615-352-8461,47,47037,47037018102,470370181022009,34980,400,Davidson County,"Nashville-Davidson--Murfreesboro--Franklin, TN",TRUE,"Nashville-Davidson--Murfreesboro, TN"
147,arapahoe,https://www.target.com/sl/arapahoe/147,Arapahoe,Open,6767 S Clinton St,Greenwood Village,Arapahoe,Colorado,CO,80112-3617,US,39.593371,-104.88155,America/Denver,Pfresh,100637,303-790-2583,08,08005,08005006815,080050068154007,19740,216,Arapahoe County,"Denver-Aurora-Centennial, CO",TRUE,"Denver-Aurora-Greeley, CO"
151,knoxville-west,https://www.target.com/sl/knoxville-west/151,Knoxville West,Open,8040 Ray Mears Blvd,Knoxville,Knox,Tennessee,TN,37919-5457,US,35.922124,-84.047781,America/New_York,Pfresh,120085,865-693-2203,47,47093,47093004403,470930044031014,28940,315,Knox County,"Knoxville, TN",TRUE,"Knoxville-Morristown-Sevierville, TN"
152,racine,https://www.target.com/sl/racine/152,Racine,Open,5300 Durand Ave,Racine,Racine,Wisconsin,WI,53406-5056,US,42.698895,-87.843716,America/Chicago,Pfresh,101010,262-554-6998,55,55101,55101000901,551010009013025,39540,376,Racine County,"Racine-Mount Pleasant, WI",TRUE,"Milwaukee-Racine-Waukesha, WI"
154,colorado-springs-north,https://www.target.com/sl/colorado-springs-north/154,Colorado Springs North,Open,5240 N Academy Blvd,Colorado Springs,El Paso,Colorado,CO,80918-4004,US,38.905204,-104.78007,America/Denver,Pfresh,127949,719-594-9600,08,08041,08041007801,080410078011015,17820,,El Paso County,"Colorado Springs, CO",TRUE,
158,beaumont,https://www.target.com/sl/beaumont/158,Beaumont,Open,5850 Eastex Fwy,Beaumont,Jefferson,Texas,TX,77708-4824,US,30.126002,-94.15271,America/Chicago,Pfresh,119900,409-898-8270,48,48245,48245000200,482450002001015,13140,,Jefferson County,"Beaumont-Port Arthur, TX",TRUE,
162,little-rock-north,https://www.target.com/sl/little-rock-north/162,Little Rock North,Open,4000 McCain Blvd,North Little Rock,Pulaski,Arkansas,AR,72116-8039,US,34.788416,-92.228336,America/Chicago,Pfresh,106078,501-771-4220,05,05119,05119003307,051190033071000,30780,340,Pulaski County,"Little Rock-North Little Rock-Conway, AR",TRUE,"Little Rock-North Little Rock, AR"
164,casper,https://www.target.com/sl/casper/164,Casper,Open,401 SE Wyoming Blvd,Casper,Natrona,Wyoming,WY,82609-4219,US,42.84703,-106.264667,America/Denver,Gen Merch,80002,307-265-8214,56,56025,56025001602,560250016024003,16220,,Natrona County,"Casper, WY",TRUE,
167,alexandria,https://www.target.com/sl/alexandria/167,Alexandria,Open,2206 Memorial Dr,Alexandria,Rapides Parish,Louisiana,LA,71301-3611,US,31.280318,-92.458821,America/Chicago,Gen Merch,100597,318-448-4351,22,22079,22079012600,220790126001004,10780,,Rapides Parish,"Alexandria, LA",TRUE,
171,billings-west,https://www.target.com/sl/billings-west/171,Billings West,Open,2601 Central Ave,Billings,Yellowstone,Montana,MT,59102-6652,US,45.770816,-108.582331,America/Denver,Pfresh,101367,406-652-5430,30,30111,30111001804,301110018043005,13740,,Yellowstone County,"Billings, MT",TRUE,
176,bitters,https://www.target.com/sl/bitters/176,Bitters,Open,13700 San Pedro Ave,San Antonio,Bexar,Texas,TX,78232-4332,US,29.565135,-98.479886,America/Chicago,Pfresh,88314,210-496-6800,48,48029,48029121123,480291211233009,41700,484,Bexar County,"San Antonio-New Braunfels, TX",TRUE,"San Antonio-New Braunfels-Kerrville, TX"
183,pacoima,https://www.target.com/sl/pacoima/183,Pacoima,Open,9725 Laurel Canyon Blvd,Pacoima,Los Angeles,California,CA,91331-4100,US,34.245735,-118.419269,America/Los_Angeles,Pfresh,100718,818-896-8214,06,06037,06037104822,060371048221004,31080,348,Los Angeles County,"Los Angeles-Long Beach-Anaheim, CA",TRUE,"Los Angeles-Long Beach, CA"
184,alhambra,https://www.target.com/sl/alhambra/184,Alhambra,Open,2120 W Main St,Alhambra,Los Angeles,California,CA,91801-1856,US,34.090945,-118.147496,America/Los_Angeles,Pfresh,140129,626-308-3290,06,06037,06037480803,060374808032002,31080,348,Los Angeles County,"Los Angeles-Long Beach-Anaheim, CA",TRUE,"Los Angeles-Long Beach, CA"
188,orange-show,https://www.target.com/sl/orange-show/188,Orange Show,Open,499 W Orange Show Rd,San Bernardino,San Bernardino,California,CA,92408-2029,US,34.078716,-117.291844,America/Los_Angeles,Pfresh,115137,909-381-3391,06,06071,06071012400,060710124001027,40140,348,San Bernardino County,"Riverside-San Bernardino-Ontario, CA",TRUE,"Los Angeles-Long Beach, CA"
189,commerce,https://www.target.com/sl/commerce/189,Commerce,Open,5600 Whittier Blvd,Commerce,Los Angeles,California,CA,90022-4106,US,34.018203,-118.1508,America/Los_Angeles,Pfresh,97916,323-725-1121,06,06037,06037532303,060375323033002,31080,348,Los Angeles County,"Los Angeles-Long Beach-Anaheim, CA",TRUE,"Los Angeles-Long Beach, CA"
190,south-gate,https://www.target.com/sl/south-gate/190,South Gate,Open,5700 Firestone Blvd,South Gate,Los Angeles,California,CA,90280-3704,US,33.948376,-118.16749,America/Los_Angeles,Pfresh,134328,562-806-2911,06,06037,06037536102,060375361022004,31080,348,Los Angeles County,"Los Angeles-Long Beach-Anaheim, CA",TRUE,"Los Angeles-Long Beach, CA"
192,garden-grove-harbor,https://www.target.com/sl/garden-grove-harbor/192,Garden Grove Harbor,Open,12100 Harbor Blvd,Garden Grove,Orange,California,CA,92840-4004,US,33.787031,-117.913614,America/Los_Angeles,Pfresh,122498,714-971-4826,06,06059,06059088403,060590884032000,31080,348,Orange County,"Los Angeles-Long Beach-Anaheim, CA",TRUE,"Los Angeles-Long Beach, CA"
193,brookhurst,https://www.target.com/sl/brookhurst/193,Brookhurst,Open,13831 Brookhurst St,Garden Grove,Orange,California,CA,92843-3120,US,33.761503,-117.955915,America/Los_Angeles,Pfresh,112129,714-534-2142,06,06059,06059088901,060590889013011,31080,348,Orange County,"Los Angeles-Long Beach-Anaheim, CA",TRUE,"Los Angeles-Long Beach, CA"
195,long-beach-bellflower,https://www.target.com/sl/long-beach-bellflower/195,Long Beach Bellflower,Open,2270 N Bellflower Blvd,Long Beach,Los Angeles,California,CA,90815-2017,US,33.798438,-118.123236,America/Los_Angeles,Pfresh,136704,562-493-5411,06,06037,06037574300,060375743003003,31080,348,Los Angeles County,"Los Angeles-Long Beach-Anaheim, CA",TRUE,"Los Angeles-Long Beach, CA"
198,culver-city-jefferson,https://www.target.com/sl/culver-city-jefferson/198,Culver City Jefferson,Open,10820 Jefferson Blvd,Culver City,Los Angeles,California,CA,90230-4935,US,33.999135,-118.394038,America/Los_Angeles,Pfresh,136875,310-839-5200,06,06037,06037702600,060377026003000,31080,348,Los Angeles County,"Los Angeles-Long Beach-Anaheim, CA",TRUE,"Los Angeles-Long Beach, CA"
199,manhattan-beach,https://www.target.com/sl/manhattan-beach/199,Manhattan Beach,Open,1200 N Sepulveda Blvd,Manhattan Beach,Los Angeles,California,CA,90266-5104,US,33.88892,-118.394828,America/Los_Angeles,Pfresh,135827,310-546-5601,06,06037,06037620400,060376204004015,31080,348,Los Angeles County,"Los Angeles-Long Beach-Anaheim, CA",TRUE,"Los Angeles-Long Beach, CA"
200,torrance,https://www.target.com/sl/torrance/200,Torrance,Open,3433 Sepulveda Blvd,Torrance,Los Angeles,California,CA,90505-2606,US,33.826449,-118.345986,America/Los_Angeles,Pfresh,131754,310-214-1561,06,06037,06037650701,060376507012030,31080,348,Los Angeles County,"Los Angeles-Long Beach-Anaheim, CA",TRUE,"Los Angeles-Long Beach, CA"
201,sports-arena,https://www.target.com/sl/sports-arena/201,Sports Arena,Open,3245 Sports Arena Blvd,San Diego,San Diego,California,CA,92110-4529,US,32.751897,-117.210247,America/Los_Angeles,Pfresh,160884,619-223-2491,06,06073,06073006500,060730065001022,41740,,San Diego County,"San Diego-Chula Vista-Carlsbad, CA",TRUE,
203,chula-vista-broadway,https://www.target.com/sl/chula-vista-broadway/203,Chula Vista Broadway,Open,1240 Broadway,Chula Vista,San Diego,California,CA,91911-2911,US,32.60458,-117.080426,America/Los_Angeles,Pfresh,130218,619-425-3850,06,06073,06073013103,060730131032012,41740,,San Diego County,"San Diego-Chula Vista-Carlsbad, CA",TRUE,
205,kearny-mesa,https://www.target.com/sl/kearny-mesa/205,Kearny Mesa,Open,8001 Othello Ave,San Diego,San Diego,California,CA,92111-3713,US,32.81637,-117.151,America/Los_Angeles,Pfresh,110963,858-576-1570,06,06073,06073008511,060730085112045,41740,,San Diego County,"San Diego-Chula Vista-Carlsbad, CA",TRUE,
212,riverside,https://www.target.com/sl/riverside/212,Riverside,Open,3520 Tyler St,Riverside,Riverside,California,CA,92503-4175,US,33.906912,-117.459627,America/Los_Angeles,Pfresh,121694,951-351-8271,06,06065,06065041408,060650414082000,40140,348,Riverside County,"Riverside-San Bernardino-Ontario, CA",TRUE,"Los Angeles-Long Beach, CA"
215,st-cloud-crossroads,https://www.target.com/sl/st-cloud-crossroads/215,St Cloud Crossroads,Open,4201 W Division St,Saint Cloud,Stearns,Minnesota,MN,56301-6601,US,45.556925,-94.208528,America/Chicago,Pfresh,129457,320-253-4740,27,27145,27145000501,271450005013034,41060,378,Stearns County,"St. Cloud, MN",TRUE,"Minneapolis-St. Paul, MN-WI"
217,lincoln,https://www.target.com/sl/lincoln/217,Lincoln,Open,333 N 48th St,Lincoln,Lancaster,Nebraska,NE,68504-3505,US,40.816087,-96.654904,America/Chicago,Pfresh,110956,402-464-8292,31,31109,31109000900,311090009002006,30700,339,Lancaster County,"Lincoln, NE",TRUE,"Lincoln-Beatrice, NE"
219,abilene,https://www.target.com/sl/abilene/219,Abilene,Open,3710 Ridgemont Dr,Abilene,Taylor,Texas,TX,79606-2726,US,32.405417,-99.767259,America/Chicago,Gen Merch,99661,325-695-4470,48,48441,48441012801,484410128011003,10180,101,Taylor County,"Abilene, TX",TRUE,"Abilene-Sweetwater, TX"
220,eden-prairie,https://www.target.com/sl/eden-prairie/220,Eden Prairie,Open,8225 Flying Cloud Dr,Eden Prairie,Hennepin,Minnesota,MN,55344-5315,US,44.855701,-93.425342,America/Chicago,Pfresh,154472,952-944-0700,27,27053,27053026020,270530260203004,33460,378,Hennepin County,"Minneapolis-St. Paul-Bloomington, MN-WI",TRUE,"Minneapolis-St. Paul, MN-WI"
221,amarillo,https://www.target.com/sl/amarillo/221,Amarillo,Open,8201 I-40 W,Amarillo,Potter,Texas,TX,79121-1104,US,35.18566,-101.934696,America/Chicago,Pfresh,110464,806-358-4030,48,48375,48375011700,483750117001051,11100,108,Potter County,"Amarillo, TX",TRUE,"Amarillo-Borger, TX"
222,puente-hills,https://www.target.com/sl/puente-hills/222,Puente Hills,Open,17751 Colima Rd,Rowland Heights,Los Angeles,California,CA,91748-1714,US,33.991768,-117.919052,America/Los_Angeles,Pfresh,115072,626-913-2880,06,06037,06037980035,060379800351177,31080,348,Los Angeles County,"Los Angeles-Long Beach-Anaheim, CA",TRUE,"Los Angeles-Long Beach, CA"
223,milwaukee-chase,https://www.target.com/sl/milwaukee-chase/223,Milwaukee Chase,Open,2950 S Chase Ave,Milwaukee,Milwaukee,Wisconsin,WI,53207-6407,US,42.992009,-87.90821,America/Chicago,Pfresh,111845,414-483-2000,55,55079,55079018400,550790184002007,33340,376,Milwaukee County,"Milwaukee-Waukesha, WI",TRUE,"Milwaukee-Racine-Waukesha, WI"
224,cheyenne,https://www.target.com/sl/cheyenne/224,Cheyenne,Open,1708 Dell Range Blvd,Cheyenne,Laramie,Wyoming,WY,82009-4945,US,41.161666,-104.799678,America/Denver,Gen Merch,100969,307-637-8888,56,56021,56021001402,560210014022041,16940,,Laramie County,"Cheyenne, WY",TRUE,
226,laverne,https://www.target.com/sl/laverne/226,Laverne,Open,2462 Foothill Blvd,La Verne,Los Angeles,California,CA,91750-3056,US,34.11006,-117.759886,America/Los_Angeles,Pfresh,120890,909-593-2421,06,06037,06037401602,060374016021001,31080,348,Los Angeles County,"Los Angeles-Long Beach-Anaheim, CA",TRUE,"Los Angeles-Long Beach, CA"
227,santa-fe-springs,https://www.target.com/sl/santa-fe-springs/227,Santa Fe Springs,Open,10621 Carmenita Rd,Santa Fe Springs,Los Angeles,California,CA,90670-4017,US,33.93793,-118.048,America/Los_Angeles,Pfresh,125330,562-946-0851,06,06037,06037504200,060375042002058,31080,348,Los Angeles County,"Los Angeles-Long Beach-Anaheim, CA",TRUE,"Los Angeles-Long Beach, CA"
228,west-hills,https://www.target.com/sl/west-hills/228,West Hills,Open,6635 Fallbrook Ave,West Hills,Los Angeles,California,CA,91307-3520,US,34.190907,-118.626444,America/Los_Angeles,Pfresh,103036,818-999-2390,06,06037,06037135201,060371352011005,31080,348,Los Angeles County,"Los Angeles-Long Beach-Anaheim, CA",TRUE,"Los Angeles-Long Beach, CA"
229,cypress,https://www.target.com/sl/cypress/229,Cypress,Open,6835 Katella Ave,Cypress,Orange,California,CA,90630-5107,US,33.803731,-118.012902,America/Los_Angeles,Pfresh,111623,714-220-2000,06,06059,06059110113,060591101132012,31080,348,Orange County,"Los Angeles-Long Beach-Anaheim, CA",TRUE,"Los Angeles-Long Beach, CA"
230,orange,https://www.target.com/sl/orange/230,Orange,Open,2191 N Tustin St,Orange,Orange,California,CA,92865-3701,US,33.824384,-117.834997,America/Los_Angeles,Pfresh,114680,714-974-2800,06,06059,06059075813,060590758132000,31080,348,Orange County,"Los Angeles-Long Beach-Anaheim, CA",TRUE,"Los Angeles-Long Beach, CA"
233,paradise-valley,https://www.target.com/sl/paradise-valley/233,Paradise Valley,Open,12602 N Paradise Village Pkwy W,Phoenix,Maricopa,Arizona,AZ,85032-7671,US,33.600407,-111.989239,America/Phoenix,Pfresh,120065,602-953-2151,04,04013,04013103210,040131032104006,38060,429,Maricopa County,"Phoenix-Mesa-Chandler, AZ",TRUE,"Phoenix-Mesa, AZ"
238,appleton,https://www.target.com/sl/appleton/238,Appleton,Open,4301 W Wisconsin Ave,Appleton,Outagamie,Wisconsin,WI,54913-8605,US,44.26986,-88.46903,America/Chicago,Pfresh,102744,920-731-5566,55,55087,55087012506,550870125062011,11540,118,Outagamie County,"Appleton, WI",TRUE,"Appleton-Oshkosh-Neenah, WI"
239,columbia,https://www.target.com/sl/columbia/239,Columbia,Open,2400 Bernadette Dr,Columbia,Boone,Missouri,MO,65203-4616,US,38.964359,-92.376963,America/Chicago,Pfresh,102748,573-445-9544,29,29019,29019001300,290190013003021,17860,190,Boone County,"Columbia, MO",TRUE,"Columbia-Jefferson City-Moberly, MO"
245,lancaster,https://www.target.com/sl/lancaster/245,Lancaster,Open,43525 10th St W,Lancaster,Los Angeles,California,CA,93534-6091,US,34.673656,-118.149399,America/Los_Angeles,Pfresh,102703,661-949-8584,06,06037,06037900705,060379007053000,31080,348,Los Angeles County,"Los Angeles-Long Beach-Anaheim, CA",TRUE,"Los Angeles-Long Beach, CA"
