store_name,store_id,street_address,city_name,state_id,state_name,postal_code,country_id,lat,lng,telephone,email,store_website,county_fips,county_name,cbsa_fips,cbsa_name,cbsa_metro,csa_fips,csa_name,timezone
Walmart Supercenter,1201,"890 Odum Rd, Gardendale, AL 35071",Gardendale,AL,Alabama,35071,US,33.6468,-86.8234,205-631-8110,,https://www.walmart.com/store/1201-gardendale-al,01073,Jefferson,13820,"Birmingham, AL",TRUE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Supercenter,4497,"1007 Red Farmer Dr, Hueytown, AL 35023",Hueytown,AL,Alabama,35023,US,33.4583,-86.9678,205-744-9997,,https://www.walmart.com/store/4497-hueytown-al,01073,Jefferson,13820,"Birmingham, AL",TRUE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Supercenter,2723,"690 Highway 78, Sumiton, AL 35148",Sumiton,AL,Alabama,35148,US,33.7434,-87.0424,205-648-4100,,https://www.walmart.com/store/2723-sumiton-al,01127,Walker,13820,"Birmingham, AL",TRUE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Neighborhood Market,4504,"312 Palisades Blvd, Birmingham, AL 35209",Birmingham,AL,Alabama,35209,US,33.4678,-86.8216,205-870-8101,,https://www.walmart.com/store/4504-birmingham-al,01073,Jefferson,13820,"Birmingham, AL",TRUE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Supercenter,1481,"209 Lakeshore Pkwy, Homewood, AL 35209",Homewood,AL,Alabama,35209,US,33.4471,-86.821,205-945-8692,,https://www.walmart.com/store/1481-homewood-al,01073,Jefferson,13820,"Birmingham, AL",TRUE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Supercenter,1711,"1600 Montclair Rd, Birmingham, AL 35210",Birmingham,AL,Alabama,35210,US,33.529,-86.7201,205-956-0416,,https://www.walmart.com/store/1711-birmingham-al,01073,Jefferson,13820,"Birmingham, AL",TRUE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Supercenter,762,"9248 Parkway E, Birmingham, AL 35206",Birmingham,AL,Alabama,35206,US,33.5902,-86.7002,205-833-7676,,https://www.walmart.com/store/762-birmingham-al,01073,Jefferson,13820,"Birmingham, AL",TRUE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Neighborhood Market,4580,"1300 Montgomery Hwy, Vestavia Hills, AL 35216",Vestavia Hills,AL,Alabama,35216,US,33.4288,-86.7918,205-822-9994,,https://www.walmart.com/store/4580-vestavia-hills-al,01073,Jefferson,13820,"Birmingham, AL",TRUE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Neighborhood Market,5100,"1916 Center Point Pkwy, Birmingham, AL 35215",Birmingham,AL,Alabama,35215,US,33.6374,-86.6844,205-520-0269,,https://www.walmart.com/store/5100-birmingham-al,01073,Jefferson,13820,"Birmingham, AL",TRUE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Supercenter,764,"750 Academy Dr, Bessemer, AL 35022",Bessemer,AL,Alabama,35022,US,33.3614,-87.0015,205-424-5890,,https://www.walmart.com/store/764-bessemer-al,01073,Jefferson,13820,"Birmingham, AL",TRUE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Neighborhood Market,3184,"3320 Lorna Rd, Hoover, AL 35216",Hoover,AL,Alabama,35216,US,33.393,-86.7992,205-909-4306,,https://www.walmart.com/store/3184-hoover-al,01073,Jefferson,13820,"Birmingham, AL",TRUE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Supercenter,1229,"2780 John Hawkins Pkwy, Hoover, AL 35244",Hoover,AL,Alabama,35244,US,33.3618,-86.8247,205-733-0303,,https://www.walmart.com/store/1229-hoover-al,01073,Jefferson,13820,"Birmingham, AL",TRUE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Supercenter,2713,"5919 Trussville Crossings Pkwy, Birmingham, AL 35235",Birmingham,AL,Alabama,35235,US,33.6395,-86.6289,205-661-1957,,https://www.walmart.com/store/2713-birmingham-al,01073,Jefferson,13820,"Birmingham, AL",TRUE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Neighborhood Market,3424,"2653 Valleydale Road, Birmingham, AL 35244",Birmingham,AL,Alabama,35244,US,33.3824,-86.7392,205-582-6183,,https://www.walmart.com/store/3424-birmingham-al,01117,Shelby,13820,"Birmingham, AL",TRUE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Supercenter,2111,"5335 Highway 280, Hoover, AL 35242",Hoover,AL,Alabama,35242,US,33.4219,-86.6759,205-980-5156,,https://www.walmart.com/store/2111-hoover-al,01117,Shelby,13820,"Birmingham, AL",TRUE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Supercenter,5262,"2181 Pelham Pkwy, Pelham, AL 35124",Pelham,AL,Alabama,35124,US,33.3408,-86.7912,205-987-0108,,https://www.walmart.com/store/5262-pelham-al,01117,Shelby,13820,"Birmingham, AL",TRUE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Neighborhood Market,4189,"335 Helena Marketplace, Helena, AL 35080",Helena,AL,Alabama,35080,US,33.2797,-86.8512,205-624-1640,,https://www.walmart.com/store/4189-helena-al,01117,Shelby,13820,"Birmingham, AL",TRUE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Supercenter,287,"1801 Highway 78 E, Jasper, AL 35501",Jasper,AL,Alabama,35501,US,33.8429,-87.2545,205-384-1100,,https://www.walmart.com/store/287-jasper-al,01127,Walker,13820,"Birmingham, AL",TRUE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Supercenter,562,"8551 Whitfield Ave, Leeds, AL 35094",Leeds,AL,Alabama,35094,US,33.5621,-86.5192,205-699-0701,,https://www.walmart.com/store/562-leeds-al,01073,Jefferson,13820,"Birmingham, AL",TRUE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Supercenter,4330,"16077 Highway 280, Chelsea, AL 35043",Chelsea,AL,Alabama,35043,US,33.3481,-86.6192,205-678-2222,,https://www.walmart.com/store/4330-chelsea-al,01117,Shelby,13820,"Birmingham, AL",TRUE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Supercenter,423,"630 Colonial Promenade Pkwy, Alabaster, AL 35007",Alabaster,AL,Alabama,35007,US,33.2356,-86.8016,205-620-0360,,https://www.walmart.com/store/423-alabaster-al,01117,Shelby,13820,"Birmingham, AL",TRUE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Neighborhood Market,4756,"9085 Hwy 119, Alabaster, AL 35007",Alabaster,AL,Alabama,35007,US,33.2125,-86.8288,205-624-6229,,https://www.walmart.com/store/4756-alabaster-al,01117,Shelby,13820,"Birmingham, AL",TRUE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Supercenter,3386,"160 Springville Station Blvd, Springville, AL 35146",Springville,AL,Alabama,35146,US,33.7795,-86.432,205-467-6656,,https://www.walmart.com/store/3386-springville-al,01115,St. Clair,13820,"Birmingham, AL",TRUE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Supercenter,3271,"5100 Highway 31, Calera, AL 35040",Calera,AL,Alabama,35040,US,33.1464,-86.7518,205-668-0831,,https://www.walmart.com/store/3271-calera-al,01117,Shelby,13820,"Birmingham, AL",TRUE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Supercenter,425,"10675 Highway 5, Brent, AL 35034",Brent,AL,Alabama,35034,US,32.963,-87.1693,205-926-4878,,https://www.walmart.com/store/425-brent-al,01007,Bibb,13820,"Birmingham, AL",TRUE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Supercenter,730,"41301 Us Highway 280, Sylacauga, AL 35150",Sylacauga,AL,Alabama,35150,US,33.1741,-86.2871,256-245-0356,,https://www.walmart.com/store/730-sylacauga-al,01121,Talladega,45180,"Talladega-Sylacauga, AL",FALSE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Supercenter,424,"1415 7th St S, Clanton, AL 35045",Clanton,AL,Alabama,35045,US,32.8175,-86.6069,205-755-7574,,https://www.walmart.com/store/424-clanton-al,01021,Chilton,13820,"Birmingham, AL",TRUE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Supercenter,726,"2643 Highway 280, Alexander City, AL 35010",Alexander City,AL,Alabama,35010,US,32.9387,-85.9771,256-234-0316,,https://www.walmart.com/store/726-alexander-city-al,01123,Tallapoosa,10760,"Alexander City, AL",FALSE,194,"Columbus-Auburn-Opelika, GA-AL",America/Chicago
Walmart Supercenter,1057,"2190 Gilmer Avenue, Tallassee, AL 36078",Tallassee,AL,Alabama,36078,US,32.5659,-85.9313,334-283-6841,,https://www.walmart.com/store/1057-tallassee-al,01051,Elmore,33860,"Montgomery, AL",TRUE,388,"Montgomery-Selma, AL",America/Chicago
Walmart Supercenter,1101,"4538 Us Highway 231, Wetumpka, AL 36092",Wetumpka,AL,Alabama,36092,US,32.5072,-86.2125,334-567-3066,,https://www.walmart.com/store/1101-wetumpka-al,01051,Elmore,33860,"Montgomery, AL",TRUE,388,"Montgomery-Selma, AL",America/Chicago
Walmart Neighborhood Market,4673,"1810 Shug Jordan Pkwy, Auburn, AL 36830",Auburn,AL,Alabama,36830,US,32.6304,-85.4956,334-539-6318,,https://www.walmart.com/store/4673-auburn-al,01081,Lee,12220,"Auburn-Opelika, AL",TRUE,194,"Columbus-Auburn-Opelika, GA-AL",America/Chicago
Walmart Supercenter,432,"214 Haynes St, Talladega, AL 35160",Talladega,AL,Alabama,35160,US,33.4385,-86.0809,256-761-1681,,https://www.walmart.com/store/432-talladega-al,01121,Talladega,45180,"Talladega-Sylacauga, AL",FALSE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Supercenter,1091,"1991 M. L. King Jr., Andalusia, AL 36420",Andalusia,AL,Alabama,36420,US,31.3197,-86.4448,334-222-6561,,https://www.walmart.com/store/1091-andalusia-al,01039,Covington,,,FALSE,,,America/Chicago
Walmart Supercenter,809,"92 Plaza Ln, Oxford, AL 36203",Oxford,AL,Alabama,36203,US,33.599,-85.8323,256-835-4701,,https://www.walmart.com/store/809-oxford-al,01015,Calhoun,11500,"Anniston-Oxford, AL",TRUE,,,America/Chicago
Walmart Supercenter,329,"5560 Mcclellan Blvd, Anniston, AL 36206",Anniston,AL,Alabama,36206,US,33.7201,-85.8201,256-820-3326,,https://www.walmart.com/store/329-anniston-al,01015,Calhoun,11500,"Anniston-Oxford, AL",TRUE,,,America/Chicago
Walmart Supercenter,300,"1625 Pelham Rd S, Jacksonville, AL 36265",Jacksonville,AL,Alabama,36265,US,33.7878,-85.7621,256-435-8100,,https://www.walmart.com/store/300-jacksonville-al,01015,Calhoun,11500,"Anniston-Oxford, AL",TRUE,,,America/Chicago
Walmart Supercenter,5113,"165 Vaughan Ln, Pell City, AL 35125",Pell City,AL,Alabama,35125,US,33.6095,-86.2771,205-338-5300,,https://www.walmart.com/store/5113-pell-city-al,01115,St. Clair,13820,"Birmingham, AL",TRUE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Supercenter,301,"340 E Meighan Blvd, Gadsden, AL 35903",Gadsden,AL,Alabama,35903,US,34.0103,-85.9876,256-547-2637,,https://www.walmart.com/store/301-gadsden-al,01055,Etowah,23460,"Gadsden, AL",TRUE,,,America/Chicago
Walmart Supercenter,316,"973 Gilbert Ferry Rd Se, Attalla, AL 35954",Attalla,AL,Alabama,35954,US,33.9936,-86.0936,256-538-3811,,https://www.walmart.com/store/316-attalla-al,01055,Etowah,23460,"Gadsden, AL",TRUE,,,America/Chicago
Walmart Supercenter,306,"1450 No. Brindlee Mt, Arab, AL 35016",Arab,AL,Alabama,35016,US,34.3415,-86.5006,256-586-8168,,https://www.walmart.com/store/306-arab-al,01095,Marshall,10700,"Albertville, AL",FALSE,290,"Huntsville-Decatur-Albertville, AL-TN",America/Chicago
Walmart Supercenter,681,"11697 Us Highway 431, Guntersville, AL 35976",Guntersville,AL,Alabama,35976,US,34.3011,-86.2766,256-878-0685,,https://www.walmart.com/store/681-guntersville-al,01095,Marshall,10700,"Albertville, AL",FALSE,290,"Huntsville-Decatur-Albertville, AL-TN",America/Chicago
Walmart Supercenter,298,"1972 Hwy 431, Boaz, AL 35957",Boaz,AL,Alabama,35957,US,34.2147,-86.1536,256-593-0195,,https://www.walmart.com/store/298-boaz-al,01095,Marshall,10700,"Albertville, AL",FALSE,290,"Huntsville-Decatur-Albertville, AL-TN",America/Chicago
Walmart Supercenter,434,"11610 Memorial Pkwy Sw, Huntsville, AL 35803",Huntsville,AL,Alabama,35803,US,34.6157,-86.5707,256-881-0581,,https://www.walmart.com/store/434-huntsville-al,01089,Madison,26620,"Huntsville, AL",TRUE,290,"Huntsville-Decatur-Albertville, AL-TN",America/Chicago
Walmart Supercenter,7280,"5601 Al Highway 157, Cullman, AL 35058",Cullman,AL,Alabama,35058,US,34.2048,-86.8697,256-615-6667,,https://www.walmart.com/store/7280-cullman-al,01043,Cullman,18980,"Cullman, AL",FALSE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Neighborhood Market,5716,"9020 Bailey Cove Rd Se, Huntsville, AL 35802",Huntsville,AL,Alabama,35802,US,34.6473,-86.5416,256-970-6552,,https://www.walmart.com/store/5716-huntsville-al,01089,Madison,26620,"Huntsville, AL",TRUE,290,"Huntsville-Decatur-Albertville, AL-TN",America/Chicago
Walmart Supercenter,670,"626 Olive St Sw, Cullman, AL 35055",Cullman,AL,Alabama,35055,US,34.1496,-86.8414,256-739-1664,,https://www.walmart.com/store/670-cullman-al,01043,Cullman,18980,"Cullman, AL",FALSE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Supercenter,5197,"330 Sutton Rd Se, Owens Cross Roads, AL 35763",Owens Cross Roads,AL,Alabama,35763,US,34.6576,-86.4857,256-534-4140,,https://www.walmart.com/store/5197-owens-cross-roads-al,01089,Madison,26620,"Huntsville, AL",TRUE,290,"Huntsville-Decatur-Albertville, AL-TN",America/Chicago
Walmart Supercenter,315,"2453 2nd Ave E, Oneonta, AL 35121",Oneonta,AL,Alabama,35121,US,33.9723,-86.4483,205-625-6474,,https://www.walmart.com/store/315-oneonta-al,01009,Blount,13820,"Birmingham, AL",TRUE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
Walmart Supercenter,375,"3031 Memorial Pkwy Sw, Huntsville, AL 35801",Huntsville,AL,Alabama,35801,US,34.703,-86.5851,256-536-2870,,https://www.walmart.com/store/375-huntsville-al,01089,Madison,26620,"Huntsville, AL",TRUE,290,"Huntsville-Decatur-Albertville, AL-TN",America/Chicago
Walmart Supercenter,1124,"1201 Highway 31 Nw, Hartselle, AL 35640",Hartselle,AL,Alabama,35640,US,34.4525,-86.9486,256-773-1675,,https://www.walmart.com/store/1124-hartselle-al,01103,Morgan,19460,"Decatur, AL",TRUE,290,"Huntsville-Decatur-Albertville, AL-TN",America/Chicago
Walmart Neighborhood Market,5925,"2305 Jordan Ln Sw, Huntsville, AL 35805",Huntsville,AL,Alabama,35805,US,34.7142,-86.6264,256-755-3080,,https://www.walmart.com/store/5925-huntsville-al,01089,Madison,26620,"Huntsville, AL",TRUE,290,"Huntsville-Decatur-Albertville, AL-TN",America/Chicago
Walmart Supercenter,2690,"8650 Madison Blvd, Madison, AL 35758",Madison,AL,Alabama,35758,US,34.6838,-86.7411,256-461-7403,,https://www.walmart.com/store/2690-madison-al,01089,Madison,26620,"Huntsville, AL",TRUE,290,"Huntsville-Decatur-Albertville, AL-TN",America/Chicago
Walmart Supercenter,332,"6140a University Dr Nw, Huntsville, AL 35806",Huntsville,AL,Alabama,35806,US,34.7465,-86.6761,256-837-7272,,https://www.walmart.com/store/332-huntsville-al,01089,Madison,26620,"Huntsville, AL",TRUE,290,"Huntsville-Decatur-Albertville, AL-TN",America/Chicago
Walmart Supercenter,433,"2200 Sparkman Dr Nw, Huntsville, AL 35810",Huntsville,AL,Alabama,35810,US,34.7634,-86.5946,256-852-2236,,https://www.walmart.com/store/433-huntsville-al,01089,Madison,26620,"Huntsville, AL",TRUE,290,"Huntsville-Decatur-Albertville, AL-TN",America/Chicago
Walmart Supercenter,662,"2800 Spring Ave Sw, Decatur, AL 35603",Decatur,AL,Alabama,35603,US,34.5573,-86.9984,256-350-4624,,https://www.walmart.com/store/662-decatur-al,01103,Morgan,19460,"Decatur, AL",TRUE,290,"Huntsville-Decatur-Albertville, AL-TN",America/Chicago
Walmart Neighborhood Market,2488,"1203 6th Ave Se, Decatur, AL 35601",Decatur,AL,Alabama,35601,US,34.5893,-86.9807,256-822-6366,,https://www.walmart.com/store/2488-decatur-al,01103,Morgan,19460,"Decatur, AL",TRUE,290,"Huntsville-Decatur-Albertville, AL-TN",America/Chicago
Walmart Supercenter,5703,"8580 Hwy 72 W, Madison, AL 35758",Madison,AL,Alabama,35758,US,34.7506,-86.7733,256-716-6951,,https://www.walmart.com/store/5703-madison-al,01089,Madison,26620,"Huntsville, AL",TRUE,290,"Huntsville-Decatur-Albertville, AL-TN",America/Chicago
Walmart Supercenter,7324,"2165 Winchester Rd Ne, Huntsville, AL 35811",Huntsville,AL,Alabama,35811,US,34.8197,-86.4933,256-716-6773,,https://www.walmart.com/store/7324-huntsville-al,01089,Madison,26620,"Huntsville, AL",TRUE,290,"Huntsville-Decatur-Albertville, AL-TN",America/Chicago
Walmart Supercenter,661,"1011 Us Highway 72 E, Athens, AL 35611",Athens,AL,Alabama,35611,US,34.7886,-86.9589,256-230-2981,,https://www.walmart.com/store/661-athens-al,01083,Limestone,26620,"Huntsville, AL",TRUE,290,"Huntsville-Decatur-Albertville, AL-TN",America/Chicago
Walmart Neighborhood Market,7342,"7140 Wall Triana Hwy, Madison, AL 35757",Madison,AL,Alabama,35757,US,34.7936,-86.7495,256-970-6193,,https://www.walmart.com/store/7342-madison-al,01089,Madison,26620,"Huntsville, AL",TRUE,290,"Huntsville-Decatur-Albertville, AL-TN",America/Chicago
Clinic Pharmacy,7254,"1 Cotton Valley Drive Nw, Huntsville, AL 35810",Huntsville,AL,Alabama,35810,US,34.8298,-86.6397,256-746-1638,,https://www.walmart.com/store/7254-huntsville-al,01089,Madison,26620,"Huntsville, AL",TRUE,290,"Huntsville-Decatur-Albertville, AL-TN",America/Chicago
Walmart Supercenter,6878,"14595 Highway 231 431 N, Hazel Green, AL 35750",Hazel Green,AL,Alabama,35750,US,34.9465,-86.5724,256-828-0486,,https://www.walmart.com/store/6878-hazel-green-al,01089,Madison,26620,"Huntsville, AL",TRUE,290,"Huntsville-Decatur-Albertville, AL-TN",America/Chicago
Walmart Supercenter,394,"15445 Highway 24, Moulton, AL 35650",Moulton,AL,Alabama,35650,US,34.4933,-87.273,256-974-1128,,https://www.walmart.com/store/394-moulton-al,01079,Lawrence,19460,"Decatur, AL",TRUE,290,"Huntsville-Decatur-Albertville, AL-TN",America/Chicago
Walmart Supercenter,238,"1655 W College St, Pulaski, TN 38478",Pulaski,TN,Tennessee,38478,US,35.2022,-87.0573,931-363-7618,,https://www.walmart.com/store/238-pulaski-tn,47055,Giles,,,FALSE,,,America/Chicago
Walmart Supercenter,314,"1224 Huntsville Hwy, Fayetteville, TN 37334",Fayetteville,TN,Tennessee,37334,US,35.1323,-86.566,931-433-3010,,https://www.walmart.com/store/314-fayetteville-tn,47103,Lincoln,22190,"Fayetteville, TN",FALSE,290,"Huntsville-Decatur-Albertville, AL-TN",America/Chicago
Walmart Supercenter,7247,"911 N Main St, Atmore, AL 36502",Atmore,AL,Alabama,36502,US,31.0375,-87.4954,251-368-1403,,https://www.walmart.com/store/7247-atmore-al,01053,Escambia,,,FALSE,,,America/Chicago
Walmart Supercenter,2739,"701 Mcmeans Ave, Bay Minette, AL 36507",Bay Minette,AL,Alabama,36507,US,30.8832,-87.7878,251-937-5558,,https://www.walmart.com/store/2739-bay-minette-al,01003,Baldwin,19300,"Daphne-Fairhope-Foley, AL",TRUE,380,"Mobile-Daphne-Fairhope, AL",America/Chicago
Walmart Supercenter,1620,"2578 Douglas Ave, Brewton, AL 36426",Brewton,AL,Alabama,36426,US,31.1485,-87.0653,251-867-4680,,https://www.walmart.com/store/1620-brewton-al,01053,Escambia,,,FALSE,,,America/Chicago
Walmart Supercenter,1493,"3371 S Alabama Ave, Monroeville, AL 36460",Monroeville,AL,Alabama,36460,US,31.4806,-87.3283,251-575-3333,,https://www.walmart.com/store/1493-monroeville-al,01099,Monroe,,,FALSE,,,America/Chicago
Walmart Neighborhood Market,2467,"4239 Berryhill Rd, Pace, FL 32571",Pace,FL,Florida,32571,US,30.6473,-87.1489,850-463-9460,,https://www.walmart.com/store/2467-pace-fl,12113,Santa Rosa,37860,"Pensacola-Ferry Pass-Brent, FL",TRUE,,,America/Chicago
Walmart Supercenter,5126,"1950 W Main St, Centre, AL 35960",Centre,AL,Alabama,35960,US,34.1601,-85.7142,256-927-9900,,https://www.walmart.com/store/5126-centre-al,01019,Cherokee,,,FALSE,,,America/Chicago
Walmart Supercenter,691,"2001 Glenn Blvd Sw, Fort Payne, AL 35968",Fort Payne,AL,Alabama,35968,US,34.4387,-85.7613,256-845-3163,,https://www.walmart.com/store/691-fort-payne-al,01049,DeKalb,22840,"Fort Payne, AL",FALSE,290,"Huntsville-Decatur-Albertville, AL-TN",America/Chicago
Walmart Neighborhood Market,5062,"2047 E University Dr, Auburn, AL 36830",Auburn,AL,Alabama,36830,US,32.6245,-85.45,334-539-6214,,https://www.walmart.com/store/5062-auburn-al,01081,Lee,12220,"Auburn-Opelika, AL",TRUE,194,"Columbus-Auburn-Opelika, GA-AL",America/Chicago
Walmart Supercenter,356,"1717 S College St, Auburn, AL 36832",Auburn,AL,Alabama,36832,US,32.5709,-85.4965,334-821-2493,,https://www.walmart.com/store/356-auburn-al,01081,Lee,12220,"Auburn-Opelika, AL",TRUE,194,"Columbus-Auburn-Opelika, GA-AL",America/Chicago
Walmart Supercenter,355,"2900 Pepperell Pkwy, Opelika, AL 36801",Opelika,AL,Alabama,36801,US,32.6356,-85.4213,334-745-9333,,https://www.walmart.com/store/355-opelika-al,01081,Lee,12220,"Auburn-Opelika, AL",TRUE,194,"Columbus-Auburn-Opelika, GA-AL",America/Chicago
Walmart Supercenter,733,"3501 20th Ave, Valley, AL 36854",Valley,AL,Alabama,36854,US,32.8372,-85.1777,334-768-2118,,https://www.walmart.com/store/733-valley-al,01017,Chambers,29300,"LaGrange, GA-AL",FALSE,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",America/Chicago
Walmart Neighborhood Market,5903,"3864 Us Highway 80 W, Phenix City, AL 36870",Phenix City,AL,Alabama,36870,US,32.4699,-85.0841,334-408-6069,,https://www.walmart.com/store/5903-phenix-city-al,01113,Russell,17980,"Columbus, GA-AL",TRUE,194,"Columbus-Auburn-Opelika, GA-AL",America/Chicago
Walmart Supercenter,1284,"3700 Us-280, Phenix City, AL 36867",Phenix City,AL,Alabama,36867,US,32.4993,-85.0449,334-291-1700,,https://www.walmart.com/store/1284-phenix-city-al,01081,Lee,,,FALSE,,,America/Chicago
Walmart Neighborhood Market,4426,"1042 Manchester Expy, Columbus, GA 31904",Columbus,GA,Georgia,31904,US,32.5061,-84.9775,706-330-5452,,https://www.walmart.com/store/4426-columbus-ga,13215,Muscogee,17980,"Columbus, GA-AL",TRUE,194,"Columbus-Auburn-Opelika, GA-AL",America/New_York
Walmart Supercenter,1311,"5448 Whittlesey Blvd Ste B, Columbus, GA 31909",Columbus,GA,Georgia,31909,US,32.5412,-84.9484,706-322-8801,,https://www.walmart.com/store/1311-columbus-ga,13215,Muscogee,17980,"Columbus, GA-AL",TRUE,194,"Columbus-Auburn-Opelika, GA-AL",America/New_York
Walmart Supercenter,4283,"2801 Airport Thruway, Columbus, GA 31909",Columbus,GA,Georgia,31909,US,32.5224,-84.9487,706-653-4227,,https://www.walmart.com/store/4283-columbus-ga,13215,Muscogee,17980,"Columbus, GA-AL",TRUE,194,"Columbus-Auburn-Opelika, GA-AL",America/New_York
Walmart Supercenter,1338,"3515 Victory Dr, Columbus, GA 31903",Columbus,GA,Georgia,31903,US,32.4238,-84.9451,706-568-3222,,https://www.walmart.com/store/1338-columbus-ga,13215,Muscogee,17980,"Columbus, GA-AL",TRUE,194,"Columbus-Auburn-Opelika, GA-AL",America/New_York
Walmart Neighborhood Market,4421,"7400 Blackmon Rd, Columbus, GA 31909",Columbus,GA,Georgia,31909,US,32.5525,-84.8958,706-330-5213,,https://www.walmart.com/store/4421-columbus-ga,13215,Muscogee,17980,"Columbus, GA-AL",TRUE,194,"Columbus-Auburn-Opelika, GA-AL",America/New_York
